Age,Sr
140.86,0.707249008
141.69,0.707243008
141.77,0.707256008
142.05,0.707247008
142.12,0.707242008
142.21,0.707248008
142.59,0.707227009
142.96,0.707241008
143.08,0.707217009
145.41,0.707178009
145.47,0.707175009
145.54,0.707185009
146.13,0.707171009
146.29,0.707154009
147.34,0.707170009
147.61,0.707157009
147.78,0.707144009
147.89,0.707126009
148.02,0.707136009
148.09,0.707098009
148.13,0.707128009
148.25,0.707124009
148.35,0.707126009
148.44,0.707090009
148.46,0.707135009
148.62,0.707101009
148.67,0.707111009
148.75,0.707088009
148.77,0.707091009
148.81,0.707108009
148.92,0.707086009
149.01,0.707169009
149.06,0.707122009
149.12,0.707113009
149.26,0.707056009
149.36,0.707092009
148.47,0.707112009
149.34,0.707091009
149.98,0.707067009
149.98,0.707064009
150.15,0.707038009
150.96,0.707061009
153.55,0.706981009
154.32,0.706981009
155.41,0.706895009
155.41,0.70687301
156.53,0.70687085
156.64,0.706881207
156.75,0.706879362
158.12,0.706850396
158.37,0.706849199
158.54,0.706865203
158.63,0.706864608
158.71,0.706865408
159.29,0.706853996
160.07,0.706835929
160.24,0.706820073
160.37,0.706832462
160.42,0.706819467
160.55,0.706831956
160.55,0.706812754
160.62,0.70682728
160.62,0.706830812
160.66,0.706826083
160.75,0.706826809
160.93,0.70683282
160.93,0.70682811
161.01,0.706839503
161.04,0.706821703
161.12,0.706823828
161.18,0.706819648
161.23,0.706824994
161.25,0.70682779
161.31,0.706832386
161.31,0.706818809
163.50,0.706840956
163.50,0.706862822
163.50,0.706842438
146.06,0.707170175
146.06,0.707189519
146.06,0.70719145
154.06,0.706959358
154.06,0.706932226
154.17,0.706932429
154.24,0.706937951
154.34,0.706933193
154.57,0.706927391
154.60,0.706937445
154.64,0.706923295
154.64,0.706930762
155.95,0.706884835
155.97,0.706889634
155.97,0.706889254
169.72,0.707184323
169.79,0.707179028
169.79,0.707268289
163.56,0.706852488
163.56,0.706852112
163.56,0.706848181
163.56,0.706847096
163.56,0.706865329
163.73,0.70684674
163.73,0.706850948
163.73,0.706857034
163.73,0.706845406
163.84,0.706853328
163.84,0.706848254
163.84,0.706856934
163.84,0.706862086
163.89,0.706858596
163.89,0.706844747
163.89,0.706853886
163.89,0.706856534
163.89,0.706842444
164.11,0.706851276
164.11,0.706853512
164.11,0.706829732
164.11,0.706855477
164.54,0.706856044
164.54,0.706859267
164.54,0.706854979
164.54,0.706876356
164.60,0.706880552
164.60,0.706875852
164.60,0.706885973
164.60,0.706864782
165.50,0.706901245
165.50,0.706915502
165.50,0.706931821
165.50,0.706906488
165.50,0.706929608
165.83,0.706916352
165.83,0.706907993
165.83,0.706916061
165.83,0.70691888
166.44,0.707015708
166.44,0.70701847
166.44,0.707006554
166.44,0.707010611
166.44,0.707015344
166.56,0.707012406
166.59,0.707000882
166.61,0.707022076
166.69,0.707024748
166.69,0.707028044
166.69,0.70703126
166.69,0.707025445
167.08,0.70704711
167.19,0.70701581
167.22,0.707038269
167.22,0.707028669
167.69,0.707045081
167.69,0.707042156
167.69,0.70704312
167.70,0.707028195
167.91,0.707034391
167.91,0.70704076
167.91,0.707033599
168.10,0.707052276
168.16,0.707058252
168.19,0.707038628
168.22,0.7070428
168.38,0.707068369
168.38,0.707064105
168.38,0.707045873
168.45,0.707049167
168.46,0.707069175
168.46,0.707051645
165.95,0.706958
165.95,0.706939
166.03,0.706939
166.03,0.706943
166.12,0.706949
166.12,0.706942
147.59,0.707155904
148.40,0.707129903
148.62,0.707129903
148.68,0.707097902
148.86,0.707123903
150.61,0.707058901
159.30,0.706861895
159.93,0.706853895
161.28,0.706833894
162.43,0.706863895
163.33,0.706839894
163.65,0.706854895
164.11,0.706877896
164.34,0.706867895
164.53,0.706856895
165.23,0.706842895
165.35,0.706920897
168.04,0.707060901
168.48,0.707057901
168.64,0.707080902
168.69,0.707089902
168.97,0.707069902
169.22,0.707133904
170.04,0.707269908
170.13,0.707288908
170.28,0.707290908
170.46,0.707303909
170.55,0.707300909
171.34,0.707288908
172.68,0.707295909
173.16,0.707288908
174.16,0.707276908
174.59,0.707302909
174.70,0.707282908
170.05,0.707285
170.26,0.707284
170.27,0.707278
170.30,0.707285
170.42,0.7072885
170.42,0.7072915
170.49,0.707298
169.69,0.707172009
169.69,0.707174009
169.70,0.707177009
169.73,0.707200009
169.73,0.707191009
169.77,0.707222009
169.81,0.707223009
169.83,0.707231008
169.85,0.707227009
169.87,0.707217009
169.89,0.707216009
169.90,0.707224009
169.90,0.707249008
169.91,0.707226009
169.91,0.707260008
169.92,0.707269008
169.95,0.707273008
169.95,0.707261008
169.95,0.707281008
169.97,0.707264008
169.99,0.707293008
170.02,0.707310008
170.07,0.707294008
170.07,0.707282008
170.07,0.707275008
170.08,0.707311008
170.08,0.707313008
170.10,0.707262008
170.12,0.707271008
170.18,0.707267008
170.26,0.707284008
170.33,0.707293008
170.39,0.707276008
170.46,0.707283008
169.87,0.707253008
169.96,0.707289008
169.99,0.707254008
170.04,0.707294008
170.23,0.707289008
170.23,0.707281008
170.23,0.707287008
170.33,0.707290008
170.37,0.707280008
170.37,0.707278008
170.49,0.707288008
170.72,0.707276008
170.74,0.707279008
171.00,0.707275008
171.58,0.707308008
171.99,0.707314008
172.46,0.707323008
172.66,0.707316008
172.68,0.707307008
173.75,0.707302008
174.19,0.707296008
174.19,0.707322008
174.40,0.707283008
174.45,0.707277008
163.19,0.706855014
163.40,0.706853014
163.47,0.706833014
163.47,0.706838014
163.48,0.706847014
163.50,0.706859014
163.50,0.706849014
163.52,0.706860014
163.53,0.706844014
163.55,0.706831014
172.24,0.7073
172.46,0.7073
173.78,0.70729
175.42,0.70728
175.42,0.7073
175.80,0.70729
175.80,0.70729
176.63,0.70728
176.63,0.70728
177.00,0.70732
177.27,0.7073
177.75,0.70728
177.81,0.70727
178.09,0.70726
178.25,0.70742
178.25,0.70743
178.34,0.70728
178.62,0.70728
178.62,0.70729
178.92,0.70725
179.35,0.70726
179.87,0.70724
180.06,0.7074
180.24,0.70724
180.41,0.70724
180.57,0.70725
